Filename,Extracted Values
X8XUG1JD,"{""Current Assets"": ""312"", ""Net current assets (liabilities)"": ""253"", ""Total assets less current liabilities"": ""253"", ""Total net assets (liabilities)"": ""253"", ""Capital and reserves"": ""253""}"
X8XX0C57,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XX02AX,"{""Net assetsIssued share capital"": ""0"", ""1 Ordinary Share 0 of £ each"": ""0"", ""Total Shareholder funds STATEMENTS"": ""0""}"
X8XX0ANN,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XX0BU1,"{""Cash at bank and in hand"": ""100"", ""Net assetsIssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XX0CEA,"{""Current Assets"": ""384"", ""Creditors: amounts falling due within one year"": ""-225"", ""Net current assets (liabilities)"": ""159"", ""Total assets less current liabilities"": ""159"", ""Total net assets (liabilities)"": ""159"", ""Capital and reserves"": ""159""}"
X8XX00J6,"{""Fixed Assets"": ""516"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""516"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""516"", ""Capital and reserves For the year ending 31 March 2019 the company was entities to exemption under section 477 of the"": ""516""}"
X8XX00LL,"{""Current Assets"": ""23349"", ""Creditors: amounts falling due within one year"": ""-118053"", ""Net current assets (liabilities)"": ""-94704"", ""Total assets less current liabilities"": ""-94704"", ""Total net assets (liabilities)"": ""-94704"", ""Capital and reserves"": ""-94704""}"
X8XX00MX,{}
X8XX000W,"{""Cash at bank and in hand"": ""1000"", ""Net assetsIssued share capital"": ""1000"", ""1000 Ordinary Shares 1 of £ each"": ""1000"", ""Total Shareholder funds STATEMENTS"": ""1000""}"
X8XX00YW,"{""Called up share capital not paid"": ""1000"", ""Current Assets"": ""4240"", ""Creditors: amounts falling due within one year"": ""-3082"", ""Net current assets (liabilities)"": ""1158"", ""Total assets less current liabilities"": ""2158"", ""Total net assets (liabilities)"": ""2158"", ""Capital and reserves"": ""2158""}"
X8XX01EH,"{""Fixed Assets"": ""1"", ""Current Assets"": ""254"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""254"", ""Total assets less current liabilities"": ""255"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""255"", ""Capital and reserves For the year ending 30 April 2019 the company was entities to exemption under section 477 of the"": ""255""}"
X8XX01EP,"{""Cash at bank and in hand"": ""2"", ""Net assets"": ""2"", ""2"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XX01IX,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""18812"", ""Current Assets"": ""87198"", ""Creditors: amounts falling due within one year"": ""-151460"", ""Net current assets (liabilities)"": ""-64262"", ""Total assets less current liabilities"": ""-45449"", ""Total net assets (liabilities)"": ""-45449"", ""Capital and reserves For the year ending 30 April 2019 the company was entities to exemption under section 477 of the"": ""-45449""}"
X8XX01SZ,{}
X8XX01TN,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""2 Ordinary Shares 1 of £ each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XX01TV,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XX02N7,"{""Current Assets"": ""5751"", ""Net current assets (liabilities)"": ""5751"", ""Total assets less current liabilities Creditors: amounts falling due after more than one"": ""5751"", ""Total net assets (liabilities)"": ""3220"", ""Capital and reserves"": ""3220""}"
X8XX02SY,"{""Current Assets"": ""8312"", ""Creditors: amounts falling due within one year"": ""-5606"", ""Net current assets (liabilities)"": ""2706"", ""Total assets less current liabilities"": ""2706"", ""Total net assets (liabilities)"": ""2706"", ""Capital and reserves"": ""2706""}"
X8XX03IJ,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares of £ | each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XX03S9,"{""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""100 A Shares 1 of £ each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX07H7,{}
X8XX036G,{}
X8XX0137,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XX0196,"{""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZI9MH,"{""Current Assets"": ""500000"", ""Net current assets (liabilities)"": ""500000"", ""Total assets less current liabilities"": ""500000"", ""Total net assets (liabilities)"": ""500000"", ""Capital and reserves"": ""500000""}"
X8XZI9Y0,"{""Fixed assets"": ""578"", ""Current assets"": ""112532"", ""Creditors: amounts falling due within one year"": ""-21596"", ""Net current assets"": ""90936"", ""Total assets less current liabilities"": ""91514"", ""Accruals and deferred income"": ""-3850"", ""Net assets"": ""87604"", ""Capital and reservesNOTES TO THE ACCOUNTS"": ""87664"", ""1"": ""1""}"
X8XZI954,{}
X8XZIB3U,"{""Fixed Assets"": ""780"", ""Current Assets"": ""2942"", ""Creditors: amounts falling due within one year"": ""-5690"", ""Net current assets (liabilities)"": ""-2748"", ""Total assets less current liabilities"": ""-1968"", ""Total net assets (liabilities)"": ""-1968"", ""Capital and reserves"": ""-1968""}"
X8XZIBDK,"{""Called up share capital not paid"": ""5"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""5"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""5"", ""Capital and reservesFor the year ending 31 May 2019 the company was entities to exemption under section 477 of the"": ""5""}"
X8XZIBXE,"{""Net assets"": ""0"", ""Reserves STATEMENTS"": ""0""}"
